ID Interacao,Feedback
ff572acd-5e98-4ff3-8f50-f829725a8bda,dislike
a3d596e5-3e46-46e8-9326-8760e415d69d,dislike
352799d5-adf0-4ab6-8d8d-af17b9a59e43,dislike
4f3df335-09ee-4c0b-8d2a-ee70ebbbafff,like
